person_age,person_gender,person_education,person_income,loan_amnt,loan_intent,loan_int_rate,cb_person_cred_hist_length,previous_loan_defaults_on_file,loan_status
22,female,Master,71948,35000,PERSONAL,16.02,3,No,1
21,female,High School,12282,1000,EDUCATION,11.14,2,Yes,0
25,female,High School,12438,5500,MEDICAL,12.87,3,No,1
23,female,Bachelor,79753,35000,MEDICAL,15.23,2,No,1
24,male,Master,66135,35000,MEDICAL,14.27,4,No,1
21,female,High School,12951,2500,VENTURE,7.14,2,No,1
26,female,Bachelor,93471,35000,EDUCATION,12.42,3,No,1
24,female,High School,95550,35000,MEDICAL,11.11,4,No,1
24,female,Associate,100684,35000,PERSONAL,8.9,2,No,1
21,female,High School,12739,1600,VENTURE,14.74,3,No,1
22,female,High School,102985,35000,VENTURE,10.37,4,No,1
21,female,Associate,13113,4500,HOMEIMPROVEMENT,8.63,2,No,1
23,male,Bachelor,114860,35000,VENTURE,7.9,2,No,1
26,male,Master,130713,35000,EDUCATION,18.39,4,No,1
23,female,Associate,138998,35000,EDUCATION,7.9,4,No,0
23,female,Master,600891,30000,DEBTCONSOLIDATION,10.65,3,Yes,0
23,male,Bachelor,144943,35000,EDUCATION,7.9,4,No,0
23,female,High School,111369,35000,MEDICAL,20,4,No,1
23,male,Bachelor,136628,35000,DEBTCONSOLIDATION,18.25,4,No,1
24,female,Master,14283,1750,EDUCATION,10.99,2,No,1
25,male,Bachelor,195718,35000,VENTURE,7.49,4,Yes,0
25,male,High School,165792,34800,PERSONAL,16.77,2,No,0
22,female,Master,79255,34000,EDUCATION,17.58,4,No,1
24,female,Bachelor,13866,1500,PERSONAL,7.29,3,Yes,0
22,male,Bachelor,97420,33950,PERSONAL,14.54,4,No,1
24,female,High School,82443,33000,HOMEIMPROVEMENT,12.68,3,No,1
21,female,Associate,14288,4575,VENTURE,17.74,3,No,1
23,male,High School,14293,1400,PERSONAL,9.32,3,No,0
24,female,Bachelor,79054,32500,HOMEIMPROVEMENT,9.99,3,No,1
21,female,Bachelor,14988,4000,EDUCATION,12.84,2,No,1
21,male,High School,14858,2000,MEDICAL,11.12,3,No,1
25,male,Bachelor,144855,32000,VENTURE,6.62,2,Yes,0
26,male,Bachelor,114645,31050,HOMEIMPROVEMENT,14.17,3,No,1
25,female,High School,368115,24250,DEBTCONSOLIDATION,13.85,3,Yes,0
26,female,Associate,361076,7800,MEDICAL,13.49,4,No,0
21,male,Associate,15150,2500,EDUCATION,7.51,4,No,1
22,female,Bachelor,58868,30000,EDUCATION,18.39,2,No,1
24,male,High School,78026,30000,DEBTCONSOLIDATION,14.54,3,No,1
25,male,Bachelor,90785,30000,HOMEIMPROVEMENT,16.89,4,No,1
23,female,High School,86811,30000,DEBTCONSOLIDATION,11.01,4,No,1
26,male,Bachelor,75503,30000,MEDICAL,17.99,2,No,1
24,female,High School,15082,2500,VENTURE,12.69,3,No,1
26,male,Bachelor,361293,20000,VENTURE,7.88,4,Yes,0
23,male,High School,361547,24250,EDUCATION,19.41,2,Yes,0
26,male,Master,360680,10000,HOMEIMPROVEMENT,10.38,4,No,0
26,male,Bachelor,360977,25000,EDUCATION,15.33,3,Yes,0
25,female,Bachelor,361244,18000,HOMEIMPROVEMENT,16.45,3,No,0
26,male,Bachelor,98230,30000,PERSONAL,7.49,3,No,1
22,female,High School,80838,30000,MEDICAL,12.69,3,No,1
26,male,Master,107957,30000,DEBTCONSOLIDATION,6.62,3,No,1
24,female,Bachelor,94649,30000,DEBTCONSOLIDATION,11.01,4,No,1
23,male,High School,94550,30000,DEBTCONSOLIDATION,18.62,3,No,1
23,male,Bachelor,111153,30000,PERSONAL,15.23,3,No,1
23,female,Associate,117250,30000,VENTURE,10.65,2,No,1
25,male,Bachelor,144985,30000,EDUCATION,7.9,4,No,0
26,male,High School,337133,10000,PERSONAL,15.96,3,Yes,0
26,male,Associate,333566,20000,VENTURE,11.48,3,Yes,0
23,male,Bachelor,333399,35000,PERSONAL,11.01,4,No,0
25,male,Master,154793,30000,PERSONAL,7.29,4,Yes,0
24,male,Associate,15229,1750,VENTURE,11.01,3,Yes,0
21,female,Bachelor,158338,30000,VENTURE,5.99,4,Yes,0
22,female,Bachelor,331034,12000,VENTURE,11.58,2,Yes,0
